round,alive_nodes,node_id,remaining_energy_j
11,100,5,1.993304
11,100,6,1.987279
11,100,7,1.992515
11,100,8,1.975452
11,100,9,1.973133
11,100,10,1.993999
11,100,11,1.869484
11,100,12,1.955144
11,100,13,1.985982
11,100,14,1.901795
11,100,15,1.975451
11,100,16,1.983562
11,100,17,1.991424
11,100,18,1.983452
11,100,19,1.988617
11,100,20,1.943027
11,100,21,1.95363
11,100,22,1.944717
11,100,23,1.987699
11,100,24,1.960068
11,100,25,1.988859
11,100,26,1.935383
11,100,27,1.98692
11,100,28,1.977627
11,100,29,1.977488
11,100,30,1.971146
11,100,31,1.988705
11,100,32,1.951288
11,100,33,1.972544
11,100,34,1.899281
11,100,35,1.783912
11,100,36,1.966433
11,100,37,1.980301
11,100,38,1.986609
11,100,39,1.988814
11,100,40,1.945753
11,100,41,1.868192
11,100,42,1.974034
11,100,43,1.964931
11,100,44,1.96307
11,100,45,1.966188
11,100,46,1.978159
11,100,47,1.989251
11,100,48,1.988246
11,100,49,1.865973
11,100,50,1.948988
11,100,51,1.987802
11,100,52,1.963819
11,100,53,1.95294
11,100,54,1.986115
11,100,55,1.981508
11,100,56,1.972402
11,100,57,1.884702
11,100,58,1.992256
11,100,59,1.938235
11,100,60,1.984771
11,100,61,1.965454
11,100,62,1.991853
11,100,63,1.937649
11,100,64,1.986666
11,100,65,1.988635
11,100,66,1.988454
11,100,67,1.936519
11,100,68,1.992982
11,100,69,1.992671
11,100,70,1.967476
11,100,71,1.992659
11,100,72,1.929743
11,100,73,1.990947
11,100,74,1.992998
11,100,75,1.964743
11,100,76,1.930222
11,100,77,1.991898
11,100,78,1.99295
11,100,79,1.992478
11,100,80,1.98481
11,100,81,1.990918
11,100,82,1.99302
11,100,83,1.984314
11,100,84,1.978868
11,100,85,1.977304
11,100,86,1.972058
11,100,87,1.992766
